date,ap,speaker,title,firmconference,num_cop_members,file_cate,speech_sequence,content,CEO,handcollectfirm,yearstr,CEOspeaker,gvkey,cusip,year,month,quater,datacqtr,datadate,fyearq,fqtr,fyr,indfmt,consol,popsrc,datafmt,tic,conm,curcdq,datafqtr,finalq,fdateq,atq,exchg,cik,costat,_merge,gvkey1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,12,"We get involved with all of them. Most of the time they're using our data and using a lot of the reports that we've formulated. So, that stuff we actually like quite a bit. And to be honest with you, I would like to see it all go faster, and the more educated everybody is on the process, the better it will be. So, we don't do view these as competitive threats in way, shape or form. What we do is we try to get involved, informed, and get the industry to move as quickly as they can. We like our approach, we like the weapons we think we'll bring to the party.So, yes we are in the middle of all of it.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,5,"You got it. And we are committed on the Three Screen stuff. Those things are more locked. You have to start them, you have to finish them, and they have to be successful. So they tend to be more concrete.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,25,The value-added is good and there have been no technical snafus anywhere along the way.,Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,27,"Any one country is immaterial really. If you add the entire Middle East, North Africa region up together as a big combined, all the countries, there's probably 12 or 13 in our view of the world, it still is immaterial. It is not a big piece relative to the total. Believe it or not, more resilient than you think.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,22,"I would reiterate, no change. All of them have a tough, hard negotiating tenor associated with them. They are all big, they're important to both sides. We make trades in those negotiations. The balance of those trades are going to be no different than the balance of those trades in the last several years, and I feel very confident in that. Then importantly, as you know, because of the long nature of most of our contracts, it's actually a very small percentage of them come up in any one year. They are laddered over many years. That process, it's hard, it's tough. I don't want anybody to think it's not competitive. It is.But I don't see any difference with respect to the outcomes over the course of the year.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,41,"For sure. It's as simple as this. If you segment our US Buy side clients into the big ones, and that's most of what we do, and the opportunities that we see, they all want to talk about developing markets. That's it. Most of our clients are multinational in nature. When we sit with them they want to know how we're going to measure the next consumer in Africa, the next consumer in rural China, the next consumer in rural India. It matters. It matters a lot, even with respect to just the face to face domestic competition.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,3,"I don't have the exact split. We will refrain from doing that. What I will tell you is the Three Screen or digital ones are more cast in concrete than the developing. The developing ones, you move forward on, depending on the growth rate. Depending on our continued confidence in the kind of growth rate we have experienced over the last year. That is the one that you can tend to dial differently and dial fairly quickly. So, I would just say, with respect to the brackets that we've given you, our degrees of freedom reflect mostly developing market investment choices.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,7,"At this point it is all investment. Most of the revenue options or opportunities come towards the end of the year. I think, as I highlighted in our IPO discussions, there are some that we're just not going to count or forecast revenue for until we actually see it hitting the books. Our model today is business as usual.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/3/1,PM,Dave Calhoun,CEO,The Nielsen Company,3,trx,45,"On the restructuring side, we are beyond the big transformation side of the restructuring of the business that we did in the first couple of years. However, from time to time, where we see opportunities to further integrate the Company, we are going to do it because we think we get scale and capability and cost. And those projects, they will come from time to time. And our expectation is that they're going to have reasonable pay backs, attractive pay backs, in many cases. And we'll just keep doing that when we see the opportunities. We think that's good for the platform, it's good for the Company and clients. On the Insights side, the Insights in developing markets, as I mentioned, both for the year and the quarter, were up well over 20%. In the developed markets, the total year ended up at 11%, the fourth quarter was in the mid single digit range.Again, that is a reflection of the fourth quarter '09 was just a bang out for the Insights business in the developed world.I would say that right now our clients are trying to navigate growth opportunities and now inflation concerns. So all of that plays very well to our Insights business everywhere in the world, particularly with multinational clients.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,3,1,2011Q1,31-Mar-11,2011,1,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q1,Y,28-Apr-11,14690,11,1492633,I,Matched (3),1
2011/4/28,PM,Dave Calhoun,CEO,Nielsen Holdings N.V.,3,trx,8,"Yes, Michael, great question. I would really separate the -- those two things. Literally, Q1, for us, was, against a comparative in Q1 of last year, where everyone was rebounding out of recession, and the new product launches -- the sales forecasting work that we do, via the bases product, was up in the plus 30%. And so, that thing was running hard, and this comparison didn't surprise us, because we knew it -- we knew that had to settle down. With respect to inflation, no doubt about it, that is the conversation amongst the CPG world. As I think you know, for us, that just spells opportunity, because the insight works we do is what allows them to develop strategy, ultimately, the execution of their pricing plans in the marketplace. So I still feel good about a robust insights business, both in the developing and developed world, and I think, actually, inflation fears help us.",Dave Calhoun,NIELSEN HOLDINGS PLC,2011,Dave Calhoun,100873,G6518L108,2011,4,2,2011Q2,30-Jun-11,2011,2,12,INDL,C,D,STD,NLSN,NIELSEN HOLDINGS PLC,USD,2011Q2,Y,1-Aug-11,14870,11,1492633,I,Matched (3),1
